,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.2857142857142856,0.0,0.0,1.875,0.0,0.0,0.0,0.0,2.142857142857143,1.6666666666666667,0.15000000000000002,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.2,0.0,0.0,0.0,0.0425,1.7857142857142856,0.0,1.1666666666666665,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.065,0.375,0.125,0.025,0.0,0.0,1.25,1.25,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2142857142857142,0.0,0.0,0.0,0.0,0.005,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.6481481481481481,0.4,0.125,0.0,0.16666666666666669,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.525,0.0,0.1,0.011,0.0,0.0,0.45,0.0,0.0
4,0.0,1.2962962962962963,0.4,0.06875,0.0,0.05,0.10500000000000001,1.2142857142857142,0.0,0.5,0.0,2.25,0.0,0.0,0.1,0.0,0.0,0.1125,0.0,0.125,0.015,1.4204545454545454,0.0,2.0,1.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,1.375,0.0,0.0,0.0,0.0,4.642857142857142,0.1,0.0,0.0,0.07500000000000001,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.07500000000000001,0.0,0.125,0.015,0.0,0.0,1.0,0.0,0.0
7,0.0,0.4814814814814815,0.12,0.04125,0.0,0.05383333333333333,0.043000000000000003,0.44285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037500000000000006,0.0,0.0,0.0,0.7102272727272727,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,4.642857142857142,0.16666666666666669,0.0,0.0,1.25,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.2,0.0,0.0,0.0,0.0425,1.7857142857142856,0.0,1.1666666666666665,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.065,0.375,0.125,0.025,0.0,0.0,1.25,1.25,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,1.25,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0
11,4.966525617339135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,1.2962962962962963,0.4,0.1375,0.0,0.0,0.06999999999999999,1.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
